ShipmentNo	VehicleNo	CreatedOn
E48AC25C-CBB1-49BC-9A98-048544812A56	ECC-0007	2022-10-19 09:34:10.7666667
FA0A488F-A841-4A18-9BB9-08F768A1AA57	ADA-0004	2022-10-19 11:47:10.7766667
F0438182-78B7-4AA2-8E8D-0FE3E27E32DA	CAC-0007	2022-10-19 11:06:10.7900000
C4037D64-D00F-4DC8-B035-190E57BBE30F	AAD-0024	2022-10-19 16:07:10.8100000
0039ACFA-6B8E-452E-9405-1C7A79CE8376	ACC-0098	2022-10-19 13:46:10.8200000
6ACEA958-AC2E-464C-B3F9-1D31DB02B81B	EDC-0061	2022-10-19 09:51:10.8333333
0908774D-9054-4149-AB0F-2284EC324076	DBA-0016	2022-10-19 13:22:10.8933333
C7FA2424-078B-46D7-B720-2F6BA02F656D	BCD-0007	2022-10-19 13:12:10.9066667
17FB3DED-6007-4D7D-9DB6-31F877C81583	ADB-0002	2022-10-19 10:56:10.9200000
2302475E-1ABC-4B31-9F5E-5B5197761C65	EDA-0014	2022-10-19 09:12:10.9266667
239BE209-1E56-4E70-83A7-74E2380E7A0A	CCE-0024	2022-10-19 12:05:10.9400000
99F4139E-DE0B-43D5-AEEE-7EB95D40C292	BBA-0023	2022-10-19 13:29:10.9500000
F721FEB6-B154-48DE-A3A8-85DF0B54869A	AEB-0040	2022-10-19 14:15:10.9600000
74D048D2-F360-450C-A419-8A7FCE633139	ACA-0008	2022-10-19 13:08:10.9666667
51DD77A1-C1E2-4247-952F-9704FF5B0585	CBD-0028	2022-10-19 08:45:10.9866667
CE993E3F-48F7-4ADD-BF42-A6BD33F37B41	BDE-0064	2022-10-19 12:41:10.9966667
A7FB88D3-1C87-41D4-A508-B664499DB710	AEB-0042	2022-10-19 12:27:11.0166667
1C4E8EC6-0DFB-4E84-8DEA-C92D737C1B1D	BBA-0020	2022-10-19 09:54:11.0300000
3ECC2417-2145-495A-B214-F27ED82D7BE8	CAC-0014	2022-10-19 15:09:11.0366667
B2DAF3B8-3AB6-43E3-B60F-0AAC4732D65D	DEE-0016	2022-10-23 16:15:11.8233333
1D31C087-1F80-42FC-ADDF-0D1624D6C68B	BBA-0049	2022-10-23 09:35:11.8400000
688B462F-212A-4CC5-9D4F-21C4CDC64E89	BEE-0062	2022-10-23 18:32:11.8466667
1134B5D0-06D1-4C0E-8D0F-24458C3D25BD	BDE-0080	2022-10-23 10:52:11.8500000
10313B32-43B6-478A-83E8-29B9294A9F12	BBD-0014	2022-10-23 11:34:11.8566667
FCDE82CC-762F-4FA5-8D11-2C480385810F	DED-0067	2022-10-23 16:46:11.8633333
775B793B-6EC2-49B5-BE70-33CE8E1A0598	CDB-0037	2022-10-23 15:29:11.8700000
8CDA6C5E-8B98-44E5-BB57-364421702AA5	CBE-0092	2022-10-23 12:33:11.8766667
B2847D60-8229-4DDF-BA05-3D998677B25C	DEB-0019	2022-10-23 13:22:11.8833333
1CC09946-3D9C-46C4-A935-62B332ABE4B0	DCD-0076	2022-10-23 12:11:11.8900000
25251059-A792-465F-90DE-62EC77550BEC	DAE-0093	2022-10-23 14:59:11.8933333
04B20679-BAF4-4C2B-B1AF-7B5343B75DA6	DDE-0085	2022-10-23 14:45:11.9000000
19508BB4-A21A-44CE-9DA8-7FBD404434CE	CCD-0027	2022-10-23 09:20:11.9066667
E0EAF5F3-5337-4E82-88F9-AF80C201CDB8	DAD-0031	2022-10-23 18:36:11.9100000
BF936B15-5DF1-4A95-90CC-B8FD81C7EA60	BCA-0033	2022-10-23 13:01:11.9166667
2BC1D439-12A9-4AD4-8AAB-BFCAAE035082	AED-0068	2022-10-23 11:20:11.9233333
BA375975-97C4-40CB-8DC2-CFF92CBB3617	DEB-0086	2022-10-23 16:26:11.9300000
D6B7D7E0-A166-422C-8289-D795989D2EB5	DDC-0090	2022-10-23 10:09:11.9366667
F4E72DA6-F183-4784-8BC1-F8BA31FE633C	DED-0014	2022-10-23 15:50:11.9700000
AB46D543-C674-4BA9-890E-FDF00F8E8F5B	DDD-0075	2022-10-23 18:03:11.9733333
FD93406C-6571-4F13-84E0-02950D38151D	ABD-0048	2022-10-24 10:11:12.1000000
32EF4490-58E4-46C9-9DE8-03587A34BB89	DDA-0052	2022-10-24 13:27:12.1100000
11F176C4-46CB-4384-AF82-187370F660B8	EAC-0035	2022-10-24 17:30:12.1166667
151104E1-DB3E-404D-9DA3-19F44C910F4B	CBC-0039	2022-10-24 15:13:12.1233333
61DC7F47-28B4-41C1-AB37-24EDFDAB13E4	CAC-0076	2022-10-24 10:30:12.1300000
686CA3B1-80DD-49B1-B778-471E15EEA156	CAB-0002	2022-10-24 12:03:12.1366667
E5547E24-FAB9-44C1-AD93-493BF05BB4F0	DEE-0018	2022-10-24 11:48:12.1433333
666BF33A-4499-40B8-B445-4ECD8FBFD72F	BBE-0072	2022-10-24 11:39:12.1500000
10B1506B-DC9F-4A46-885A-58245CAEF4E4	BBA-0065	2022-10-24 16:09:12.1800000
FDE03874-0489-4507-9771-5A78EF69EBE1	EDE-0062	2022-10-24 16:51:12.1900000
EF46C78B-017C-4EB7-B1C4-646A19B4E6EB	BDC-0046	2022-10-24 10:23:12.2033333
60CFDBE1-ED26-4501-811E-6B40436439D0	BCA-0003	2022-10-24 16:47:12.2100000
5C77D39B-87AD-4CFC-89AB-6C61B55A906E	ECA-0040	2022-10-24 09:49:12.2166667
7957F7F8-C1AE-45CA-89D3-70F3270B951C	EAC-0076	2022-10-24 15:12:12.2266667
8C686EE7-C31A-4903-BE76-742A9F2B9636	BAB-0065	2022-10-24 10:11:12.2333333
094E03BA-C396-4D7F-B3F2-7A6E9FC6595C	CDD-0058	2022-10-24 10:36:12.2533333
7E7DA817-FFB8-4702-9EE4-884FA77653A9	DCC-0075	2022-10-24 16:44:12.2800000
F0DCE2A7-95B8-497C-886B-8EABE9D3848F	EAA-0025	2022-10-24 10:39:12.2866667
84CE98A2-4738-49AA-9659-A7F7339664AE	BAB-0038	2022-10-24 17:10:12.2933333
77109601-CF39-4897-A23B-CF7E67B4506D	ECD-0065	2022-10-24 11:47:12.3166667
5DD59652-3E13-4DE4-B20D-E6631F432DEA	CAE-0086	2022-10-24 17:14:12.3266667
EBADDD43-F5F9-49E4-B345-EA43FC67BA5F	BCD-0079	2022-10-24 14:26:12.3466667
2CF4170D-3613-4416-B2F7-F2C19F7D116E	DCB-0081	2022-10-24 14:16:12.3600000
017E3CF5-5F76-4F41-8A48-F772C835CDA0	BEC-0089	2022-10-24 09:34:12.3733333
357F29ED-27AC-4739-8749-071F251BBBD8	CAB-0035	2022-10-25 09:17:12.7966667
BEA71751-963B-4CD1-98E2-2E6192BC7E46	EEC-0021	2022-10-25 13:35:12.8066667
4F8803FF-3E1B-49C2-A24B-399D4C56D580	ACD-0084	2022-10-25 12:39:12.8166667
77FB3390-9D44-48A8-87C2-67A39A1EAD76	DAA-0038	2022-10-25 11:13:12.8233333
66451235-0CEF-4217-849B-69890B8326A0	EBD-0072	2022-10-25 17:08:12.8300000
1D8FD11F-C3E8-4744-8520-6A735BC2EAD4	DCE-0009	2022-10-25 15:32:12.8366667
9C12DA86-C555-4582-AB98-9F6B4631D839	CBE-0006	2022-10-25 12:21:12.8433333
4B41F22B-0283-4AD6-908B-E5AD62A26945	ECC-0082	2022-10-25 11:43:12.8500000
56456607-3646-48B2-A015-ED808D7AC35F	CBE-0077	2022-10-25 12:32:12.8566667
430CB8B8-B6FD-40E9-83F6-EFAB93B69493	DEC-0048	2022-10-25 14:14:12.8633333
6DEF210C-FEBD-4972-80F8-04E2A8F93144	AEC-0047	2022-10-27 10:20:15.9400000
2EE0E78A-4181-45FD-B3DB-261ED9C41CFE	DBB-0024	2022-10-27 15:35:15.9500000
1E74C248-48E2-486D-9ABB-3121DA675275	BAD-0049	2022-10-27 17:26:15.9566667
