TrNo	TrDate	Amt	Type	Cheque	RefNo	PaymentType	Party	BankName	detail	CreatedBy	CreatedOn
E1A88E0F-04EF-4412-81F8-07C6D2DDCC53	2022-10-11 19:32:01.1500000	-11256.61	Cr	E5F7A541-D77E-4750-BCEE-0EF75A1E10D6	51DD77A1-C1E2-4247-952F-9704FF5B0585	ShipmentAdvance	CBD-0028	IDFC	IDFC - E5F7A541-D77E-4750-BCEE-0EF75A1E10D6 - -11256.61	System Generated	2022-10-11 19:32:01.1500000
E1A88E0F-04EF-4412-81F8-07C6D2DDCC53	2022-10-11 19:32:01.1500000	11256.61	Dr	E5F7A541-D77E-4750-BCEE-0EF75A1E10D6	51DD77A1-C1E2-4247-952F-9704FF5B0585	ShipmentAdvance	Learning Ltd.	IDFC	IDFC - E5F7A541-D77E-4750-BCEE-0EF75A1E10D6 - 11256.61	System Generated	2022-10-11 19:32:01.1500000
219080B8-24BF-4739-9E77-1BD615973EB0	2022-10-12 10:00:24.7033333	-7332.32	Cr	1271CD28-4475-42FC-A31E-90702036BDBA	0039ACFA-6B8E-452E-9405-1C7A79CE8376	ShipmentAdvance	ACC-0098	HDFC	HDFC - 1271CD28-4475-42FC-A31E-90702036BDBA - -7332.32	System Generated	2022-10-12 10:00:24.7033333
219080B8-24BF-4739-9E77-1BD615973EB0	2022-10-12 10:00:24.7033333	7332.32	Dr	1271CD28-4475-42FC-A31E-90702036BDBA	0039ACFA-6B8E-452E-9405-1C7A79CE8376	ShipmentAdvance	Learning Ltd.	HDFC	HDFC - 1271CD28-4475-42FC-A31E-90702036BDBA - 7332.32	System Generated	2022-10-12 10:00:24.7033333
F4EAF444-9D04-4A29-8FF9-830920E81904	2022-10-13 13:36:24.7733333	-9810.15	Cr	5FD63FED-065E-430B-9286-F27978514F97	E48AC25C-CBB1-49BC-9A98-048544812A56	ShipmentAdvance	ECC-0007	IDFC	IDFC - 5FD63FED-065E-430B-9286-F27978514F97 - -9810.15	System Generated	2022-10-13 13:36:24.7733333
F4EAF444-9D04-4A29-8FF9-830920E81904	2022-10-13 13:36:24.7733333	9810.15	Dr	5FD63FED-065E-430B-9286-F27978514F97	E48AC25C-CBB1-49BC-9A98-048544812A56	ShipmentAdvance	Learning Ltd.	IDFC	IDFC - 5FD63FED-065E-430B-9286-F27978514F97 - 9810.15	System Generated	2022-10-13 13:36:24.7733333
A4C92FF3-10A0-4031-8B8A-3F726C1F58B3	2022-10-13 13:17:24.7866667	-7355.83	Cr	NULL	C4037D64-D00F-4DC8-B035-190E57BBE30F	ShipmentAdvance	AAD-0024	UPI	UPI -  - -7355.83	System Generated	2022-10-13 13:17:24.7866667
A4C92FF3-10A0-4031-8B8A-3F726C1F58B3	2022-10-13 13:17:24.7866667	7355.83	Dr	NULL	C4037D64-D00F-4DC8-B035-190E57BBE30F	ShipmentAdvance	Learning Ltd.	UPI	UPI -  - 7355.83	System Generated	2022-10-13 13:17:24.7866667
0D055305-5492-4E6D-B6B8-8E0BE1C66CEC	2022-10-13 09:17:24.7966667	-18169.22	Cr	7AF30D34-9953-4F02-A2F4-B00F08FB824F	FCDE82CC-762F-4FA5-8D11-2C480385810F	ShipmentAdvance	DED-0067	IDFC	IDFC - 7AF30D34-9953-4F02-A2F4-B00F08FB824F - -18169.22	System Generated	2022-10-13 09:17:24.7966667
0D055305-5492-4E6D-B6B8-8E0BE1C66CEC	2022-10-13 09:17:24.7966667	18169.22	Dr	7AF30D34-9953-4F02-A2F4-B00F08FB824F	FCDE82CC-762F-4FA5-8D11-2C480385810F	ShipmentAdvance	Learning Ltd.	IDFC	IDFC - 7AF30D34-9953-4F02-A2F4-B00F08FB824F - 18169.22	System Generated	2022-10-13 09:17:24.7966667
CA300C07-41BD-4936-8C56-DFAE67D56B84	2022-10-13 09:52:24.9000000	9551.72	Dr	98C0D57B-2A6D-45D5-B604-457FD31F2F1F	26EBDF86-1A52-4389-8C0C-DD11BFDA3683	InvoiceAdvance	"Tailspin Toys (Cherry Grove Beach, SC)"	Axis	Axis - 98C0D57B-2A6D-45D5-B604-457FD31F2F1F - 9551.72	System Generated	2022-10-13 09:52:24.9000000
CA300C07-41BD-4936-8C56-DFAE67D56B84	2022-10-13 09:52:24.9000000	-9551.72	Cr	98C0D57B-2A6D-45D5-B604-457FD31F2F1F	26EBDF86-1A52-4389-8C0C-DD11BFDA3683	InvoiceAdvance	Learning Ltd.	Axis	Axis - 98C0D57B-2A6D-45D5-B604-457FD31F2F1F - -9551.72	System Generated	2022-10-13 09:52:24.9000000
928BAACD-A5B3-4879-AD4A-D165FE4AEE83	2022-10-14 12:55:25.7200000	-6779.00	Cr	NULL	0908774D-9054-4149-AB0F-2284EC324076	ShipmentAdvance	DBA-0016	Cash	Cash -  - -6779.00	System Generated	2022-10-14 12:55:25.7200000
928BAACD-A5B3-4879-AD4A-D165FE4AEE83	2022-10-14 12:55:25.7200000	6779.00	Dr	NULL	0908774D-9054-4149-AB0F-2284EC324076	ShipmentAdvance	Learning Ltd.	Cash	Cash -  - 6779.00	System Generated	2022-10-14 12:55:25.7200000
43F771AC-DAFE-44EC-932A-3DCCF4655A29	2022-10-14 16:18:25.7400000	-8495.92	Cr	NULL	1134B5D0-06D1-4C0E-8D0F-24458C3D25BD	ShipmentAdvance	BDE-0080	Cash	Cash -  - -8495.92	System Generated	2022-10-14 16:18:25.7400000
43F771AC-DAFE-44EC-932A-3DCCF4655A29	2022-10-14 16:18:25.7400000	8495.92	Dr	NULL	1134B5D0-06D1-4C0E-8D0F-24458C3D25BD	ShipmentAdvance	Learning Ltd.	Cash	Cash -  - 8495.92	System Generated	2022-10-14 16:18:25.7400000
6F25C6C3-1521-415C-A55B-37CBE0C68D58	2022-10-15 12:30:25.8000000	-10336.62	Cr	NULL	6ACEA958-AC2E-464C-B3F9-1D31DB02B81B	ShipmentAdvance	EDC-0061	Cash	Cash -  - -10336.62	System Generated	2022-10-15 12:30:25.8000000
6F25C6C3-1521-415C-A55B-37CBE0C68D58	2022-10-15 12:30:25.8000000	10336.62	Dr	NULL	6ACEA958-AC2E-464C-B3F9-1D31DB02B81B	ShipmentAdvance	Learning Ltd.	Cash	Cash -  - 10336.62	System Generated	2022-10-15 12:30:25.8000000
47B4648A-ECF9-4F79-B782-3DBFAFB8800C	2022-10-15 10:03:25.8133333	10572.72	Dr	DC423E66-6594-4C0F-B3FC-7C826C5D5426	BB7F2C70-6CAD-47F0-83E9-17C87242232F	InvoiceAdvance	"Tailspin Toys (Sylvanite, MT)"	PNB	PNB - DC423E66-6594-4C0F-B3FC-7C826C5D5426 - 10572.72	System Generated	2022-10-15 10:03:25.8133333
47B4648A-ECF9-4F79-B782-3DBFAFB8800C	2022-10-15 10:03:25.8133333	-10572.72	Cr	DC423E66-6594-4C0F-B3FC-7C826C5D5426	BB7F2C70-6CAD-47F0-83E9-17C87242232F	InvoiceAdvance	Learning Ltd.	PNB	PNB - DC423E66-6594-4C0F-B3FC-7C826C5D5426 - -10572.72	System Generated	2022-10-15 10:03:25.8133333
EA707C36-900E-4C45-A070-1EC79AF48CCA	2022-10-15 17:08:25.8300000	13637.90	Dr	8052EEBD-F078-46A2-9CC5-118A897EA28C	279001EA-66B2-4672-A9AC-1A19581EA774	InvoiceAdvance	Taneli Riutta	ICICI	ICICI - 8052EEBD-F078-46A2-9CC5-118A897EA28C - 13637.90	System Generated	2022-10-15 17:08:25.8300000
EA707C36-900E-4C45-A070-1EC79AF48CCA	2022-10-15 17:08:25.8300000	-13637.90	Cr	8052EEBD-F078-46A2-9CC5-118A897EA28C	279001EA-66B2-4672-A9AC-1A19581EA774	InvoiceAdvance	Learning Ltd.	ICICI	ICICI - 8052EEBD-F078-46A2-9CC5-118A897EA28C - -13637.90	System Generated	2022-10-15 17:08:25.8300000
7079BA5E-8D80-4923-9240-E5757A420154	2022-10-15 09:22:25.8433333	7694.70	Dr	0ABC1DD5-AAF3-4D62-8BD6-2E91D1CF6BCD	9B6A10CF-D118-4503-92F9-280252C7A37A	InvoiceAdvance	"Tailspin Toys (Dracut, MA)"	IDFC	IDFC - 0ABC1DD5-AAF3-4D62-8BD6-2E91D1CF6BCD - 7694.70	System Generated	2022-10-15 09:22:25.8433333
7079BA5E-8D80-4923-9240-E5757A420154	2022-10-15 09:22:25.8433333	-7694.70	Cr	0ABC1DD5-AAF3-4D62-8BD6-2E91D1CF6BCD	9B6A10CF-D118-4503-92F9-280252C7A37A	InvoiceAdvance	Learning Ltd.	IDFC	IDFC - 0ABC1DD5-AAF3-4D62-8BD6-2E91D1CF6BCD - -7694.70	System Generated	2022-10-15 09:22:25.8433333
AF4DAA19-1C55-45FF-AB87-3C4983E8FAF9	2022-10-16 12:03:26.9166667	-8100.43	Cr	62C18DBB-B186-49D4-8E05-EFDA086031B9	FD93406C-6571-4F13-84E0-02950D38151D	ShipmentAdvance	ABD-0048	PNB	PNB - 62C18DBB-B186-49D4-8E05-EFDA086031B9 - -8100.43	System Generated	2022-10-16 12:03:26.9166667
