TransactionID	trno	TrDate	Amt	RefNo	PaymentType	Party	BankName	CreatedBy	CreatedOn					
35	E1A88E0F-04EF-4412-81F8-07C6D2DDCC53	2022-10-11 19:32:01.1500000	11256.61	51DD77A1-C1E2-4247-952F-9704FF5B0585	ShipmentAdvance	CBD-0028	IDFC	System Generated	2022-10-11 19:32:01.1500000					
37	219080B8-24BF-4739-9E77-1BD615973EB0	2022-10-12 10:00:24.7033333	7332.32	0039ACFA-6B8E-452E-9405-1C7A79CE8376	ShipmentAdvance	ACC-0098	HDFC	System Generated	2022-10-12 10:00:24.7033333					
39	F4EAF444-9D04-4A29-8FF9-830920E81904	2022-10-13 13:36:24.7733333	9810.15	E48AC25C-CBB1-49BC-9A98-048544812A56	ShipmentAdvance	ECC-0007	IDFC	System Generated	2022-10-13 13:36:24.7733333					
41	A4C92FF3-10A0-4031-8B8A-3F726C1F58B3	2022-10-13 13:17:24.7866667	7355.83	C4037D64-D00F-4DC8-B035-190E57BBE30F	ShipmentAdvance	AAD-0024	UPI	System Generated	2022-10-13 13:17:24.7866667					
43	0D055305-5492-4E6D-B6B8-8E0BE1C66CEC	2022-10-13 09:17:24.7966667	18169.22	FCDE82CC-762F-4FA5-8D11-2C480385810F	ShipmentAdvance	DED-0067	IDFC	System Generated	2022-10-13 09:17:24.7966667					
45	CA300C07-41BD-4936-8C56-DFAE67D56B84	2022-10-13 09:52:24.9000000	9551.72	26EBDF86-1A52-4389-8C0C-DD11BFDA3683	InvoiceAdvance	"Tailspin Toys (Cherry Grove Beach, SC)"	Axis	System Generated	2022-10-13 09:52:24.9000000					
47	928BAACD-A5B3-4879-AD4A-D165FE4AEE83	2022-10-14 12:55:25.7200000	6779.00	0908774D-9054-4149-AB0F-2284EC324076	ShipmentAdvance	DBA-0016	Cash	System Generated	2022-10-14 12:55:25.7200000					
49	43F771AC-DAFE-44EC-932A-3DCCF4655A29	2022-10-14 16:18:25.7400000	8495.92	1134B5D0-06D1-4C0E-8D0F-24458C3D25BD	ShipmentAdvance	BDE-0080	Cash	System Generated	2022-10-14 16:18:25.7400000					
51	6F25C6C3-1521-415C-A55B-37CBE0C68D58	2022-10-15 12:30:25.8000000	10336.62	6ACEA958-AC2E-464C-B3F9-1D31DB02B81B	ShipmentAdvance	EDC-0061	Cash	System Generated	2022-10-15 12:30:25.8000000					
53	47B4648A-ECF9-4F79-B782-3DBFAFB8800C	2022-10-15 10:03:25.8133333	10572.72	BB7F2C70-6CAD-47F0-83E9-17C87242232F	InvoiceAdvance	"Tailspin Toys (Sylvanite, MT)"	PNB	System Generated	2022-10-15 10:03:25.8133333					
55	EA707C36-900E-4C45-A070-1EC79AF48CCA	2022-10-15 17:08:25.8300000	13637.90	279001EA-66B2-4672-A9AC-1A19581EA774	InvoiceAdvance	Taneli Riutta	ICICI	System Generated	2022-10-15 17:08:25.8300000					
